,index,application,sm_app_clock,gr_engine_active,sm_active,sm_occupancy,TENSO,dram_active,fp64_active,fp32_active,FP16A,pcie_tx_bytes,pcie_rx_bytes,gpu_utilization,mem_copy_utilization,MUSAM,GUSAM,power_usage,total_energy_consumption,run_time,fp_active
126,126,bplustree,577,1,0,0,0,0.054,0,0.267,0,16123915,20005598,100,9,8,99,68.24477778,1.54,30.96333333,0.267
127,127,bplustree,585,0.999590909,0,0,0,0.061681818,0,0.264590909,0,10306157.59,10569807.64,100,9,8,99,68.77931818,115.756,30.37333333,0.264590909
128,128,bplustree,592,0.995302176,0,0,0,0.056400593,0,0.27084273,0,13049049.57,12828970.71,97.96834817,9.019782394,8.893669634,96.99357072,71.32804797,1057.269,29.10666667,0.27084273
129,129,bplustree,600,0.997574523,0,0,0,0.05746622,0,0.269340897,0,12911033.99,13208581.69,98.52604435,9.06446622,9.016503352,97.56523981,70.26500155,1020.841,28.91333333,0.269340897
130,130,bplustree,607,0.99948,0,0,0,0.05746622,0,0.267,0,46482.4,54496.8,100,9,9,99,70.38572,159.186,29.53,0.267
131,131,bplustree,615,0.996378968,0,0,0,0.058453869,0,0.267003472,0,12486440.68,15043786.59,98.13938492,9.047123016,8.976686508,97.19345238,72.09725,1028.563,29.48666667,0.267003472
132,132,bplustree,622,0.997895126,0,0,0,0.058907927,0,0.267798621,0,12845423.28,12629970.11,97.38897095,9.008862629,8.934022649,96.46085672,72.27423929,1034.535,29.32666667,0.267798621
133,133,bplustree,630,1,0,0,0,0.059,0,0.268,0,4177644,1139357,100,10,9,99,73.8367519,243.256,28.17333333,0.268
134,134,bplustree,637,0.99768062,0,0,0,0.060566408,0,0.269686305,0,13435818.85,13284912.8,97.6118863,9.927131783,8.984496124,96.66925065,72.6701385,1007.021,28.45333333,0.269686305
135,135,bplustree,645,0.997318956,0,0,0,0.061517572,0,0.267495208,0,13676302.7,13690668.44,97.63205538,9.939829606,9.125665602,96.71192758,73.00468317,995.795,27.99,0.267495208
136,136,bplustree,652,0.99795097,0,0,0,0.061355465,0,0.267462717,0,12428474.4,12485825.85,97.93871297,10.00306435,9.028089888,96.99438202,74.0909525,1012.291,28.17333333,0.267462717
137,137,bplustree,660,0.997476789,0,0,0,0.06336592,0,0.269992354,0,13399724.52,13413097.88,97.52157291,9.961223375,9.896231567,96.71982523,76.33728017,1006.837,27.41,0.269992354
138,138,bplustree,667,0.996264171,0,0,0,0.063677005,0,0.269542781,0,13863728.22,13087663.47,97.48983957,9.965240642,9.886631016,96.47540107,76.50497273,1010.407,27.04,0.269542781
139,139,bplustree,675,0.997352397,0,0,0,0.064162854,0,0.267600763,0,13010289.17,13108899.68,98.01851852,10.01089325,9.991285403,97.08496732,76.84133497,996.744,26.91666667,0.267600763
