,sm_app_clock,application,gr_engine_active,sm_active,sm_occupancy,TENSO,dram_active,fp64_active,fp32_active,FP16A,pcie_tx_bytes,pcie_rx_bytes,gpu_utilization,mem_copy_utilization,MUSAM,GUSAM,power_usage,total_energy_consumption,run_time,fp_active
0,510,LAMMPS,0.990624425,0,0,0,0.081334765,0.232638233,0.092027616,0,15361462.32,32170108.29,98.37127953,13.22246088,12.59680884,97.50598343,50.39361553,645.305,15.66666667,0.324665849
1,510,LSTM,0.855390247,0,0,0,0.001708197,0,0.002904779,0,53836411.11,182365415.9,85.82992825,0,0,85.29107382,26.57017177,3332.565,126.6057668,0.002904779
2,510,NAMD,0.733309707,0,0,0,0.026042888,0.005479932,0.202163868,0,1570179867,620297787.4,40.91175633,2.367397286,1.861372047,40.3732802,44.82896157,5671.791,106.37286,0.2076438
3,517,LAMMPS,0.986271354,0,0,0,0.121670127,0.176875885,0.070025012,0,17777125.86,14600875.28,97.74327513,20.51958471,19.92496461,96.87163756,65.4643445,589.97,11,0.246900897
4,517,LSTM,0.870342623,0,0,0,0.001859875,0,0.002923694,0,53298248.66,176913364.8,87.6399445,0,0,87.08215708,26.58696646,3282.52,126.1257284,0.002923694
5,517,NAMD,0.770180817,0,0,0,0.029957249,0.005611133,0.215831398,0,1817827108,744355401.7,47.40228274,2.740088106,2.273928714,46.90388466,46.2451673,5041.154,109.4526825,0.221442531
6,525,LAMMPS,0.978943514,0,0,0,0.129364289,0.173675443,0.06843753,0,23687708.33,55634743.39,97.37577788,20.68358066,20.15797032,96.46768789,66.08726376,589.983,11,0.242112973
7,525,LSTM,0.871117916,0,0,0,0.00185953,0,0.002876429,0,53189302.49,169848953.4,87.58043202,0,0,87.06626429,26.97304949,3265.561,124.5376829,0.002876429
8,525,NAMD,0.732275346,0,0,0,0.026702817,0.005248233,0.203340015,0,1545664350,619775853.6,44.76706404,2.664310581,2.161620424,44.2549847,45.27730183,5116.671,106.500145,0.208588248
9,532,LAMMPS,0.990326682,0,0,0,0.124001856,0.169908121,0.070497448,0,26423347.23,50901036.27,97.68074246,20.7837587,20.18700696,96.79303944,65.9852942,549.143,11,0.240405569
10,532,LSTM,0.861258973,0,0,0,0.001880151,0,0.00291104,0,51783321.48,162450640,86.63791932,0,0,86.07326867,26.69818292,3263.218,128.3291756,0.00291104
11,532,NAMD,0.772107863,0,0,0,0.028743207,0.004990634,0.214474269,0,1705886084,691072541.9,46.89100453,2.729724166,2.292713051,46.36620008,47.20680084,5093.592,112.3080025,0.219464903
12,540,LAMMPS,0.981428774,0,0,0,0.13013346,0.168585424,0.068653573,0,18289468.19,14743387.72,97.9275911,20.88547089,20.5560814,97.05821107,66.62674397,588.985,11,0.237238997
13,540,LSTM,0.826,0,0,0,0,0,0.002666667,0,0,0,80,0,0,79.33333333,26.703,59.093,128.1869787,0.002666667
14,540,NAMD,0.754765243,0,0,0,0.028116225,0.005115323,0.206758724,0,1717236591,733634577.4,44.50852387,2.641295628,2.184717208,44.02406739,46.50243773,5180.759,114.442982,0.211874047
15,547,LAMMPS,0.9879382,0,0,0,0.127994647,0.170560584,0.067823358,0,22537801.39,44084386.57,97.17420925,21.12214112,20.52262774,96.28223844,67.15793041,548.449,11,0.238383942
16,547,LSTM,0.85981933,0,0,0,0.001821162,0,0.002689829,0,52983837.76,172658445.4,86.16121289,0,0,85.69481996,26.81060278,3268.248,127.5645514,0.002689829
17,547,NAMD,0.746101769,0,0,0,0.027878224,0.005421071,0.201375275,0,1693866494,738156586.1,46.49670406,2.802821788,2.302648317,45.96253036,47.65217659,5020.79,105.5907135,0.206796346
18,555,LAMMPS,0.990118522,0,0,0,0.127672265,0.168504798,0.068056142,0,22141788.89,23830666.06,97.62140115,20.85460653,20.5403071,96.78838772,66.83131238,546.82,11,0.23656094
19,555,LSTM,0.849237131,0,0,0,0.001871723,0,0.002561574,0,51786739.17,162016577.8,85.35322777,0,0,84.84838772,26.92465985,3239.615,122.9345671,0.002561574
20,555,NAMD,0.707535753,0,0,0,0.02633229,0.005102318,0.189116502,0,1622861204,643153185.7,39.84280544,2.426587108,1.916854152,39.34393035,45.43206564,5607.918,109.856697,0.19421882
